idx,className,methodName,time0,time1,childRefs
0,org.lwjgl.opengl.GL11C,glClear,64.0,4.0,[]
1,org.lwjgl.opengl.GL11,glClear,64.0,4.0,[0]
2,com.mojang.blaze3d.platform.GlStateManager,_clear,64.0,4.0,[1]
3,com.mojang.blaze3d.systems.RenderSystem,clear,64.0,4.0,[2]
4,java.util.HashMap,hash,8.0,16.0,[]
5,java.util.HashMap,computeIfAbsent,8.0,16.0,[4]
6,io.github.tt432.eyelib.particle.runtime.support.ParticleBlackboard,getOrCreate,12.0,20.0,[5]
7,io.github.tt432.eyelib.particle.runtime.support.ParticleTimer,realSec,4.0,0.0,[]
8,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance,age,4.0,0.0,[7]
9,io.github.tt432.eyelib.particle.runtime.bedrock.component.particle.motion.ParticleMotionDynamic,onFrame,16.0,24.0,[6;8]
10,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance,lambda$onRenderFrame$3,60.0,44.0,[9]
11,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance$$Lambda$11720/0x0000015e4e1d4c30,accept,60.0,44.0,[10]
12,java.lang.Iterable,forEach,68.0,48.0,[11]
13,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance,onRenderFrame,68.0,48.0,[12]
14,io.github.tt432.eyelib.particle.ParticleRenderManager$$Lambda$7996/0x0000015e4dd38f90,accept,68.0,48.0,[13]
15,it.unimi.dsi.fastutil.objects.ObjectArrayList,forEach,68.0,48.0,[14]
16,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleEmitter,lambda$onRenderFrame$4,4.0,0.0,[]
17,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleEmitter$$Lambda$11699/0x0000015e4e1d37c0,accept,4.0,0.0,[16]
18,java.util.AbstractList$RandomAccessSpliterator,getFence,4.0,0.0,[]
19,java.util.AbstractList$RandomAccessSpliterator,estimateSize,4.0,0.0,[18]
20,java.util.Spliterator,getExactSizeIfKnown,4.0,0.0,[19]
21,java.util.stream.AbstractPipeline,copyIntoWithCancel,4.0,0.0,[20]
22,java.util.stream.AbstractPipeline,copyInto,4.0,0.0,[21]
23,java.util.stream.AbstractPipeline,wrapAndCopyInto,4.0,0.0,[22]
24,java.util.stream.MatchOps$MatchOp,evaluateSequential,4.0,0.0,[23]
25,java.util.stream.MatchOps$MatchOp,evaluateSequential,4.0,0.0,[24]
26,java.util.stream.AbstractPipeline,evaluate,4.0,0.0,[25]
27,java.util.stream.ReferencePipeline,anyMatch,4.0,0.0,[26]
28,io.github.tt432.eyelib.molang.MolangScope,get,4.0,0.0,[]
29,io.github.tt432.eyelib.molang.MolangScope,get,4.0,0.0,[28]
30,io.github.tt432.eyelib.molang.compiler.MolangRuntimeSupport,resolveMemberAccess,4.0,0.0,[29]
31,io.github.tt432.eyelib.molang.compiler.Molang$Expr$1df7a9e5/0x0000015e4e1c4800,evaluate,4.0,0.0,[30]
32,java.lang.invoke.LambdaForm$DMH/0x0000015e4c218000,invokeVirtual,4.0,0.0,[31]
33,java.lang.invoke.LambdaForm$MH/0x0000015e4e439800,invoke,4.0,0.0,[32]
34,java.lang.invoke.LambdaForm$MH/0x0000015e4e028400,invoke_MT,4.0,0.0,[33]
35,io.github.tt432.eyelib.molang.compiler.MolangCompilerImpl$HiddenMolangExpression,evaluate,4.0,0.0,[34]
36,io.github.tt432.eyelib.molang.compiler.CompiledMolangExpression,apply,4.0,0.0,[35]
