idx,className,methodName,time0,time1,childRefs
0,org.lwjgl.system.JNI,invokeV,8.0,0.0,[]
1,org.lwjgl.glfw.GLFW,glfwPollEvents,8.0,0.0,[0]
2,com.mojang.blaze3d.systems.RenderSystem,pollEvents,8.0,0.0,[1]
3,org.lwjgl.system.JNI,invokePV,52.0,32.0,[]
4,org.lwjgl.glfw.GLFW,glfwSwapBuffers,52.0,32.0,[3]
5,sun.nio.fs.WindowsNativeDispatcher,GetFileAttributesEx0,4.0,0.0,[]
6,sun.nio.fs.WindowsNativeDispatcher,GetFileAttributesEx,4.0,0.0,[5]
7,sun.nio.fs.WindowsFileAttributes,get,4.0,0.0,[6]
8,sun.nio.fs.WindowsFileAttributeViews$Basic,readAttributes,4.0,0.0,[7]
9,sun.nio.fs.WindowsFileAttributeViews$Basic,readAttributes,4.0,0.0,[8]
10,sun.nio.fs.WindowsFileSystemProvider,readAttributes,4.0,0.0,[9]
11,sun.nio.fs.AbstractFileSystemProvider,isDirectory,4.0,0.0,[10]
12,java.nio.file.Files,isDirectory,4.0,0.0,[11]
13,cpw.mods.niofs.union.UnionFileSystem,testFilter,4.0,0.0,[12]
14,cpw.mods.niofs.union.UnionFileSystem,findFirstFiltered,4.0,0.0,[13]
15,cpw.mods.niofs.union.UnionFileSystem,checkAccess,4.0,0.0,[14]
16,cpw.mods.niofs.union.UnionFileSystemProvider,checkAccess,4.0,0.0,[15]
17,java.nio.file.Files,exists,4.0,0.0,[16]
18,net.minecraftforge.resource.PathPackResources,getRootResource,4.0,0.0,[17]
19,net.minecraftforge.resource.PathPackResources,getResource,4.0,0.0,[18]
20,net.minecraftforge.resource.DelegatingPackResources,getResource,4.0,0.0,[19]
21,java.lang.Throwable,fillInStackTrace,4.0,0.0,[]
22,java.lang.Throwable,fillInStackTrace,4.0,0.0,[21]
23,java.lang.Throwable,<init>,4.0,0.0,[22]
24,java.lang.Exception,<init>,4.0,0.0,[23]
25,java.io.IOException,<init>,4.0,0.0,[24]
26,java.nio.file.FileSystemException,<init>,4.0,0.0,[25]
27,java.nio.file.NoSuchFileException,<init>,4.0,0.0,[26]
28,jdk.nio.zipfs.ZipPath,readAttributes,4.0,0.0,[27]
29,jdk.nio.zipfs.ZipPath,readAttributes,4.0,0.0,[28]
30,jdk.nio.zipfs.ZipFileSystemProvider,readAttributes,4.0,0.0,[29]
31,java.nio.file.Files,readAttributes,4.0,0.0,[30]
32,java.nio.file.Files,isDirectory,4.0,0.0,[31]
33,cpw.mods.niofs.union.UnionFileSystem,testFilter,4.0,0.0,[32]
34,cpw.mods.niofs.union.UnionFileSystem,findFirstFiltered,4.0,0.0,[33]
35,cpw.mods.niofs.union.UnionFileSystem,checkAccess,4.0,0.0,[34]
36,cpw.mods.niofs.union.UnionFileSystemProvider,checkAccess,4.0,0.0,[35]
37,java.nio.file.Files,exists,4.0,0.0,[36]
38,net.minecraft.server.packs.VanillaPackResources,lambda$getResource$4,4.0,0.0,[37]
39,net.minecraft.server.packs.VanillaPackResources$$Lambda$5827/0x0000029b01dd3b60,apply,4.0,0.0,[38]
40,com.mojang.datafixers.util.Either$Left,map,4.0,0.0,[39]
41,net.minecraft.server.packs.VanillaPackResources,getResource,4.0,0.0,[40]
42,net.minecraft.server.packs.resources.FallbackResourceManager,lambda$createStackMetadataFinder$4,8.0,0.0,[20,41]
43,net.minecraft.server.packs.resources.FallbackResourceManager$$Lambda$5893/0x0000029b01dee560,get,8.0,0.0,[42]
44,net.minecraft.server.packs.resources.Resource,metadata,8.0,0.0,[43]
45,org.lwjgl.stb.STBImage,nstbi_load_from_memory,8.0,0.0,[]
46,org.lwjgl.stb.STBImage,stbi_load_from_memory,8.0,0.0,[45]
47,com.mojang.blaze3d.platform.NativeImage,read,8.0,0.0,[46]
48,com.mojang.blaze3d.platform.NativeImage,read,8.0,0.0,[47]
49,com.mojang.blaze3d.platform.NativeImage,read,8.0,0.0,[48]
