idx,className,methodName,time0,time1,childRefs
0,org.lwjgl.opengl.GL11C,glClear,8.0,12.0,"[]"
1,org.lwjgl.opengl.GL11,glClear,8.0,12.0,"[0]"
2,com.mojang.blaze3d.platform.GlStateManager,_clear,8.0,12.0,"[1]"
3,com.mojang.blaze3d.systems.RenderSystem,clear,8.0,12.0,"[2]"
4,java.util.HashMap,hash,0.0,12.0,"[]"
5,java.util.HashMap,computeIfAbsent,0.0,12.0,"[4]"
6,io.github.tt432.eyelib.particle.runtime.support.ParticleBlackboard,getOrCreate,0.0,16.0,"[5]"
7,io.github.tt432.eyelib.particle.runtime.bedrock.component.particle.motion.ParticleMotionDynamic,onFrame,0.0,16.0,"[6]"
8,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance,lambda$onRenderFrame$3,28.0,176.0,"[7]"
9,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance$$Lambda$12212/0x0000029b034e0000,accept,28.0,176.0,"[8]"
10,java.lang.Iterable,forEach,32.0,204.0,"[9]"
11,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance,onRenderFrame,32.0,204.0,"[10]"
12,io.github.tt432.eyelib.particle.ParticleRenderManager$$Lambda$7981/0x0000029b02d36b20,accept,32.0,204.0,"[11]"
13,it.unimi.dsi.fastutil.objects.ObjectArrayList,forEach,32.0,204.0,"[12]"
14,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleEmitter,lambda$onRenderFrame$4,0.0,8.0,"[]"
15,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleEmitter$$Lambda$12191/0x0000029b034dd648,accept,0.0,8.0,"[14]"
16,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleEmitter,lambda$emit$6,4.0,4.0,"[]"
17,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleEmitter$$Lambda$12194/0x0000029b034ddcf0,test,4.0,4.0,"[16]"
18,java.util.stream.MatchOps$1MatchSink,accept,4.0,4.0,"[17]"
19,java.util.AbstractList$RandomAccessSpliterator,tryAdvance,4.0,4.0,"[18]"
20,java.util.stream.ReferencePipeline,forEachWithCancel,4.0,4.0,"[19]"
21,java.util.stream.AbstractPipeline,copyIntoWithCancel,8.0,4.0,"[20]"
22,java.util.stream.AbstractPipeline,copyInto,8.0,4.0,"[21]"
23,java.util.stream.AbstractPipeline,wrapAndCopyInto,8.0,4.0,"[22]"
24,java.util.stream.MatchOps$MatchOp,evaluateSequential,8.0,4.0,"[23]"
25,java.util.stream.MatchOps$MatchOp,evaluateSequential,8.0,4.0,"[24]"
26,java.util.stream.AbstractPipeline,evaluate,12.0,4.0,"[25]"
27,java.util.stream.ReferencePipeline,anyMatch,12.0,4.0,"[26]"
28,io.github.tt432.eyelib.particle.runtime.bedrock.component.emitter.shape.Direction,getVec,4.0,0.0,"[]"
