idx,className,methodName,time0,time1,childRefs
0,jdk.internal.misc.Unsafe,allocateInstance,12.0,4.0,
1,java.lang.invoke.DirectMethodHandle,allocateInstance,12.0,4.0,0
2,java.lang.invoke.DirectMethodHandle$Holder,newInvokeSpecial,12.0,4.0,1
3,java.lang.invoke.Invokers$Holder,linkToTargetMethod,12.0,4.0,2
4,net.minecraftforge.network.ServerStatusPing,toBuf,4.0,0.0,
5,net.minecraftforge.network.ServerStatusPing,lambda$static$0,4.0,0.0,4
6,net.minecraftforge.network.ServerStatusPing$$Lambda$10513/0x0000029b02fc1400,apply,4.0,0.0,5
7,com.mojang.serialization.codecs.RecordCodecBuilder$Instance,lambda$ap2$4,4.0,0.0,6
8,com.mojang.serialization.codecs.RecordCodecBuilder$Instance$$Lambda$1092/0x0000029b014715e0,apply,4.0,0.0,7
9,com.mojang.serialization.codecs.RecordCodecBuilder$Instance,lambda$ap3$6,4.0,0.0,8
10,com.mojang.serialization.codecs.RecordCodecBuilder$Instance$$Lambda$1122/0x0000029b01472cd0,apply,4.0,0.0,9
11,com.mojang.serialization.codecs.RecordCodecBuilder$2,encode,4.0,0.0,10
12,com.mojang.serialization.MapCodec$MapCodecCodec,encode,4.0,0.0,11
13,net.minecraft.network.protocol.status.ServerStatus$Favicon,lambda$static$3,4.0,0.0,
14,net.minecraft.network.protocol.status.ServerStatus$Favicon$$Lambda$10489/0x0000029b02fc6ba8,apply,4.0,0.0,13
15,com.mojang.serialization.Encoder$1,encode,4.0,0.0,14
16,com.mojang.serialization.Codec$2,encode,4.0,0.0,15
17,com.mojang.serialization.Encoder,encodeStart,8.0,0.0,12 16
18,com.mojang.serialization.codecs.OptionalFieldCodec,encode,8.0,0.0,17
19,com.mojang.serialization.codecs.OptionalFieldCodec,encode,8.0,0.0,18
20,com.mojang.serialization.codecs.RecordCodecBuilder$Instance$6,encode,8.0,0.0,19
21,com.mojang.serialization.codecs.RecordCodecBuilder$2,encode,8.0,0.0,20
22,com.mojang.serialization.MapCodec$MapCodecCodec,encode,8.0,0.0,21
